Semester,Video Title,Songs,Upload Date,URL
Fall 2012,Columbia Orchesis: Sail,N/A,20121201,https://www.youtube.com/watch?v=onl4nhs-9XU
Fall 2012,Columbia Orchesis: Starstruck,N/A,20121201,https://www.youtube.com/watch?v=k4h5IOtc4ho
Fall 2012,Columbia Orchesis: This Bitter Earth,N/A,20121211,https://www.youtube.com/watch?v=9s4m6I7Gbxk
Fall 2012,Columbia Orchesis: Tahitian,N/A,20130119,https://www.youtube.com/watch?v=egxEcpP9T-Q
Spring 2012,Columbia Orchesis: Hey Ya!!,"""Hey Ya"" by Obadiah Parker",20120415,https://www.youtube.com/watch?v=OdW7qbqCuIE
Spring 2012,Columbia Orchesis: This Woman's Work,"""This Woman's Work"" by Greg Laswell",20120415,https://www.youtube.com/watch?v=TQOHXcp4JJk
Spring 2012,Columbia Orchesis: Flying Away,"""18th Floor Balcony"" by Blue October",20120416,https://www.youtube.com/watch?v=J_MDhjTLdY8
Spring 2012,Columbia Orchesis: How Far We've Come,"""How Far We've Come"" by Boyce Avenue",20120416,https://www.youtube.com/watch?v=mUttzfRQKeY
Fall 2013,Columbia Orchesis: Gracious,"""Gracious"" by Ben Howard",20131125,https://www.youtube.com/watch?v=bArSWjJY42k
Fall 2013,Columbia Orchesis: Youth,N/A,20131125,https://www.youtube.com/watch?v=JM-AGyaFZZQ
Fall 2013,Columbia Orchesis: Khona,N/A,20131125,https://www.youtube.com/watch?v=vVjQTUACX4Y
Fall 2013,Columbia Orchesis: Royal T,N/A,20131125,https://www.youtube.com/watch?v=SRBQ3Y5Z0tQ
Spring 2013,Columbia Orchesis: Veil,N/A,20130415,https://www.youtube.com/watch?v=ZICtHN3RjCc
Spring 2013,Crystallized - The MaMa Project 2013,N/A,20130930,https://www.youtube.com/watch?v=SxYSDQw5gcQ
Spring 2013,Stupid - The MaMa Project 2013,N/A,20130930,https://www.youtube.com/watch?v=ZIrYpHOWL8s
Spring 2013,Cell Block Tango - The MaMa Project 2013,N/A,20131001,https://www.youtube.com/watch?v=_-7N8-e5TTg
Fall 2014,Columbia Orchesis: Little Bird,N/A,20141115,https://www.youtube.com/watch?v=q0ay53d6iMU
Fall 2014,Columbia Orchesis: The Master,N/A,20141115,https://www.youtube.com/watch?v=-N2HFCpz7VM
Fall 2014,Columbia Orchesis: Goddess,N/A,20141115,https://www.youtube.com/watch?v=sk6_iRMm_-A
Fall 2014,Columbia Orchesis: Ruby Blue,N/A,20141115,https://www.youtube.com/watch?v=gdHA4Q8_4Y8
Fall 2014,Columbia Orchesis: Home,N/A,20141115,https://www.youtube.com/watch?v=QjQsPYjwc_g
Spring 2014,Columbia Orchesis: I Need to Make a Sound,N/A,20140421,https://www.youtube.com/watch?v=C1v_ipKKp4E
Spring 2014,Columbia Orchesis: Italics,N/A,20140421,https://www.youtube.com/watch?v=elRN112Nqac
Spring 2014,Columbia Orchesis: Almighty Sound,N/A,20140423,https://www.youtube.com/watch?v=XdPpkozBnrY
Spring 2014,Columbia Orchesis: We Run This,Run the World by Beyonce,20140423,https://www.youtube.com/watch?v=q0vxtT_vUf8
Spring 2014,Columbia Orchesis: Saltimbanco,N/A,20140423,https://www.youtube.com/watch?v=oI_YnLRBNDY
Spring 2014,Columbia Orchesis: Love and Life,N/A,20140423,https://www.youtube.com/watch?v=rnSsvqOAUgI
Spring 2014,Columbia Orchesis: Spectacle,"""When She Came Back"" by Max Richter",20140423,https://www.youtube.com/watch?v=3h_BxlgRCRU
Spring 2014,Columbia Orchesis: Tu aimes ça?,"""Partition"" by Beyonce",20140424,https://www.youtube.com/watch?v=zyu4_VQxYUE
Spring 2014,Columbia Orchesis: Run The Trap,N/A,20140428,https://www.youtube.com/watch?v=aS_ceesjFlI
Fall 2015,Columbia Orchesis: The Four Houses,“Magic Dubstep” by Terabyte Frenzy,20151230,https://www.youtube.com/watch?v=0S32mTBbB88
Fall 2015,Columbia Orchesis: Experiment 1 on Phrases 1 and 2,N/A,20151230,https://www.youtube.com/watch?v=4vYUYPfvpSc
Fall 2015,Columbia Orchesis: Water Me,“Water Me” by FKA Twigs,20151230,https://www.youtube.com/watch?v=5yEy1P_QNhQ
Fall 2015,Columbia Orchesis: Unbounded,“Great Escape” by Coeur de Pirate,20151230,https://www.youtube.com/watch?v=6sTt1-oGxM4
Fall 2015,Columbia Orchesis: Sing Sing Sing,“Sing Sing Sing” by Benny Goodman and His Orchestra,20151230,https://www.youtube.com/watch?v=KuKOkw23jaw
Fall 2015,Columbia Orchesis: Mixed Articulations,“Celloverse” by Two Cellos,20151230,https://www.youtube.com/watch?v=Uvb3D5_8mss
Fall 2015,Columbia Orchesis: Comfort Me,N/A,20151230,https://www.youtube.com/watch?v=JoCorOsf6HQ
Fall 2015,Columbia Orchesis: Hunger,“Hunger” by Of Monsters and Men,20160105,https://www.youtube.com/watch?v=c5gk8VhMm-Q
Fall 2015,Columbia Orchesis: I Forget Where,“I Forget Where we Were” by Ben Howard,20160105,https://www.youtube.com/watch?v=rr4RaVdvCtU
Fall 2015,Columbia Orchesis: Turn it up LOUD,“Turn Up the Music” by Chris Brown,20160105,https://www.youtube.com/watch?v=4R_yl4KSvmI
Fall 2015,Columbia Orchesis: You're So Cute,“Suit” by Boom! Bap! Pow!,20160105,https://www.youtube.com/watch?v=JJeAFuU-ybQ
Fall 2015,Columbia Orchesis: Wimoweh,“Drive Away (End Title)” by Thomas Newman,20160105,https://www.youtube.com/watch?v=Y4YGVaMrCxA
Fall 2015,Columbia Orchesis: Summer,“Summer” by Hayden Calnin,20160105,https://www.youtube.com/watch?v=NPYTqhHS8lA
Fall 2015,Columbia Orchesis: Happy,N/A,20160228,https://www.youtube.com/watch?v=DYdgShBrpyw
Spring 2015,Columbia Orchesis: How Will I Know?,How Will I know by Whitney Houston,20150428,https://www.youtube.com/watch?v=8VeLMIpqSqc
Spring 2015,Columbia Orchesis: Don't You Come Back,N/A,20150629,https://www.youtube.com/watch?v=EmiIHjmZEhU
Spring 2015,Columbia Orchesis: Changed,N/A,20150629,https://www.youtube.com/watch?v=F1NnVYPOTpU
Spring 2015,Columbia Orchesis: Shake It Off,N/A,20150630,https://www.youtube.com/watch?v=k-GEZwMA6vs
Spring 2015,Columbia Orchesis: Soapy Heels,N/A,20150630,https://www.youtube.com/watch?v=-gCY1wMovE0
Spring 2015,Columbia Orchesis: Dope,N/A,20150701,https://www.youtube.com/watch?v=6ol8-CBu3pY
Spring 2015,Columbia Orchesis: Human Nature,N/A,20150701,https://www.youtube.com/watch?v=4vCISBv9FC0
Spring 2015,Columbia Orchesis: Mind Heist,N/A,20150702,https://www.youtube.com/watch?v=1XnrdPUsoLo
Spring 2015,Columbia Orchesis: Won't You Come On Over,N/A,20150702,https://www.youtube.com/watch?v=5ME9BCMfkzo
Spring 2015,Columbia Orchesis: Rhythms,N/A,20150702,https://www.youtube.com/watch?v=wrF-tvfCYRM
Spring 2015,Columbia Orchesis: The Master,N/A,20150705,https://www.youtube.com/watch?v=IA5up8FIAp8
Spring 2015,Columbia Orchesis: Good Girls,N/A,20150705,https://www.youtube.com/watch?v=Q-GcQv7P6N0
Spring 2015,Columbia Orchesis: Jitterbug,N/A,20150705,https://www.youtube.com/watch?v=FHYBN6eUYAY
Spring 2015,Columbia Orchesis: Thirteen Butterflies,N/A,20150705,https://www.youtube.com/watch?v=BgspSTbTrUM
Spring 2015,Columbia Orchesis: At Last,N/A,20150705,https://www.youtube.com/watch?v=gdaXjx2W7a0
Fall 2016,Columbia Orchesis: So Cold,"""So Cold"" by Ben Cocks ft. Nikisha Reyes-Pile",20170101,https://www.youtube.com/watch?v=gp3_GaGjs0I
Fall 2016,Columbia Orchesis: It's All Coming Back to Me Now,"""It's All Coming Back to Me Now"" by Celine Dion",20170102,https://www.youtube.com/watch?v=g-9Hhz1AWNU
Fall 2016,Columbia Orchesis: You Don't Own Me,"""You Don't Own Me"" by Leslie Gore",20170110,https://www.youtube.com/watch?v=_24w4h4bNbk
Fall 2016,Columbia Orchesis: Omega,"""Omega"" by Grimes",20170110,https://www.youtube.com/watch?v=QxAgCTw3i7Y
Fall 2016,Columbia Orchesis: My Discarded Men,"""My Discarded Men"" by Eartha Kitt",20170113,https://www.youtube.com/watch?v=xCZqB4YfhAg
Fall 2016,Columbia Orchesis: Wonderful,"""Wonderful"" by Annie Lennox",20170113,https://www.youtube.com/watch?v=li_j0CHoLus
Fall 2016,Columbia Orchesis: Fission/Fusion,"""Typhoon"" by Young Fathers",20170114,https://www.youtube.com/watch?v=hdTti0wbDPE
Fall 2016,Columbia Orchesis: All That Jazz,"""Overture (All That Jazz)"" by Catherine Zeta-Jone from Chicago",20170114,https://www.youtube.com/watch?v=H-Lpy99ei30
Fall 2016,Columbia Orchesis: Feeling Good,"""Feeling Good"" by Michael Buble",20170118,https://www.youtube.com/watch?v=E_z9p-Wn7xQ
Fall 2016,Columbia Orchesis: Intimidate,"""Din Da Da"" by The Roots",20170118,https://www.youtube.com/watch?v=1pZ3T8OZKvQ
Fall 2016,Columbia Orchesis: Belief,"""Belief (Stripped Version)"" by Gavin McGraw",20170118,https://www.youtube.com/watch?v=CMeMFLq3A74
Spring 2016,Columbia Orchesis: Allergro Pour Treize,"""Hermetico"" by Balkan Beatbox",20160609,https://www.youtube.com/watch?v=XFUKW7TrtsE
Spring 2016,Columbia Orchesis: Life is Hard,"live version of ""Life is Hard"" by Edward Sharpe and the Magnetic Zeros",20160609,https://www.youtube.com/watch?v=3qUphp2eG08
Spring 2016,Columbia Orchesis: write it behind the ear,"""We Shall Never Surrender"" by Clocks & Clouds",20160609,https://www.youtube.com/watch?v=WBmx5tKCF9U
Spring 2016,Columbia Orchesis: Seniors Spring 2016,"""Sexy Back"" by Justin Timberlake Audio: John Fisher and Rachel Shafran | John Fisher and Rachel Shafran",20160609,https://www.youtube.com/watch?v=UjNKB919o2Y
Spring 2016,Columbia Orchesis: Kaleidoscopic Rhythmns,"""Intro"" by Alt-J",20160609,https://www.youtube.com/watch?v=CmpmvHEGSOI
Spring 2016,Columbia Orchesis: Crop Top Interlude,"""My House"" by Flo Rida | John Fisher and Rachel Shafran",20160609,https://www.youtube.com/watch?v=7UxcsFCpTjY
Spring 2016,Columbia Orchesis: (Collide)oscope,"""Heroes"" by David Bowie",20160610,https://www.youtube.com/watch?v=Y5v4k0qOcDk
Spring 2016,Columbia Orchesis: Go Hard or Go Home,"""Feeling Myself"" by Nicki Minaj ft. Beyoncé; ""GDFR"" by Flo Rida ft. Sage The Gemini and Lookas; ""WTF (Where They From)"" by Missy Elliot ft. Pharrell Williams",20160610,https://www.youtube.com/watch?v=8PvAgvUsaiA
Spring 2016,Columbia Orchesis: Let the Groove Get In,"""Let the Groove Get In"" by Justin Timberlake; ""Locked Away"" by R. City ft. Adam Levine; ""Flawless"" by Beyoncé; ""Flawless Club Jersey Remix"" by DJ Taj ft. DJ Panic",20160610,https://www.youtube.com/watch?v=5NGzQVt7dL0
Spring 2017,Columbia Orchesis: I See Fire,“I See Fire” by Ed Sheeran,20170419,https://www.youtube.com/watch?v=SxPzLM7k8T4
Spring 2017,Columbia Orchesis: Guillotine,“Guillotine” by Jon Bellion ft. Travis Mendes,20170419,https://www.youtube.com/watch?v=O-hO-VA7cFE
Spring 2017,Columbia Orchesis: awakening,"""Fade"" by Kayne West",20170419,https://www.youtube.com/watch?v=FcA14UDhs1M
Spring 2017,Columbia Orchesis: Gosh,“Gosh” by Jamie xx,20170419,https://www.youtube.com/watch?v=j8gPkn3ht0o
Spring 2017,Columbia Orchesis: Call the Shots,"“Don't Let Me Down (feat. Daya)"" by the Chainsmokers, ""Bitch Better Have My Money"" by Rihanna, ""King Kunta"" by Kendrick Lamar",20170419,https://www.youtube.com/watch?v=kgmjbx6pirs
Spring 2017,Columbia Orchesis: Valentine,“Valentine” by Fiona Apple,20170419,https://www.youtube.com/watch?v=GC4AJowmwF4
Spring 2017,Columbia Orchesis: Uptown Contra,“Downtown” by Rising Appalachia and the Human Experience,20170419,https://www.youtube.com/watch?v=sqcnxYUswK0
Spring 2017,Columbia Orchesis: Letter To My 16-Year- Old Self,N/A,20170419,https://www.youtube.com/watch?v=HB-GFcHOqCI
Spring 2017,Columbia Orchesis: Falling,"""Falling"" by Florence + The Machine",20170419,https://www.youtube.com/watch?v=PePqd9oriN0
Spring 2017,Columbia Orchesis: Can You Hold Me,"""Can You Hold Me"" by NF ft. Britt Nicole",20170419,https://www.youtube.com/watch?v=Z3ANnKQzX3M
Spring 2017,Columbia Orchesis: Senior Interlude 2017,“Supermodel” by Taylor Dayne,20170421,https://www.youtube.com/watch?v=CWcfLIpiq7Y
Spring 2017,Columbia Orchesis: Muses in D Minor,“Nothing Else Matters” by Appocalyptica,20170421,https://www.youtube.com/watch?v=N292reuPSMQ
Spring 2017,Columbia Orchesis: The Vision Thing,“Gemini Feed” by Annie Lennox,20170421,https://www.youtube.com/watch?v=diFN2fR86hE
Spring 2017,Columbia Orchesis: Leaving Song,“Leaving Song” by Chris Garneau,20170421,https://www.youtube.com/watch?v=FVmwoedjiQo
Spring 2017,Columbia Orchesis: YOU + ME,“You and Me” by Disclosure (Flume Remix),20170516,https://www.youtube.com/watch?v=MJXF3o_7QvY
Spring 2017,Columbia Orchesis: Fallin',“Fallin’” by Alicia Keys,20170516,https://www.youtube.com/watch?v=U6FKEQo5gnU
